"code","inclusion_notes","exclusion_notes"
"H334","Vitréorétinopathie proliférante avec décollement de la rétine",""
"H34","","amaurose fugace [G45.3]"
"H342","Microembolie rétinienne
Occlusion artérielle rétinienne (d'une) :
 - branche
 - partielle
Plaque d'Hollenhorst",""
"H348","Occlusion de la veine de la rétine (d'une) :
 - branche
 - centrale
 - débutante
 - partielle",""
"H349","","amaurose fugace [G45.3]"
"H350","Altérations vasculaires de la rétine
Gaine vasculaire  rétinien(ne)(s)
Microanévrisme  rétinien(ne)(s)
Néovascularisation  rétinien(ne)(s)
Périvascularite  rétinien(ne)(s)
Varices  rétinien(ne)(s)
Vascularite  rétinien(ne)(s)
Rétinopathie (avec) (de) :
 - SAI
 - antécédents SAI
 - Coats
 - exsudative
 - hypertensive",""
"H351","Fibroplasie rétrocristallinienne ou rétrolentale",""
"H352","Vitréorétinopathie proliférante","vitréorétinopathie proliférante avec décollement de la rétine [H33.4]"
"H353","Dégénérescence (de) :
 - Junius–Kuhnt
 - maculaire sénile (atrophique) (exsudative)
 Druses (dégénératives)  de la macula 
 Kyste  de la macula 
 Plis  de la macula 
 Stries angioïdes  de la macula 
 Trou  de la macula 
Maculopathie toxique",""
"H354","Dégénérescence rétinienne :
 - SAI
 - en palissade
 - entrecroisée
 - microcystoïde
 - pavimenteuse
 - réticulaire","avec déchirure rétinienne [H33.3]"
"H355","Dystrophie :
 - rétinienne (pigmentaire) (ponctuée albescente) (vitelliforme)
 - tapétorétinienne
 - vitréorétinienne
Maladie de Stargardt
Rétinite pigmentaire",""
"H357","Choriorétinopathie séreuse centrale
Décollement de l'épithélium pigmentaire rétinien",""
"H368","Dystrophie rétinienne au cours des anomalies du stockage des lipides [E75.-]
Rétinopathie :
 - athéroscléreuse [I70.8] 
 - proliférante au cours de l'anémie à hématies falciformes [D57.-]",""
"H40","","glaucome :
 - absolu [H44.5] 
 - congénital [Q15.0] 
 - traumatique dû à un traumatisme obstétrical [P15.3]"
"H400","Hypertension oculaire",""
"H401","Glaucome (primitif) (résiduel) :
 - à tension basse
 - capsulaire avec pseudoexfoliation cristallinienne
 - chronique simple
 - pigmentaire",""
"H402","Glaucome à angle fermé (primitif) (résiduel) :
 - aigu
 - chronique
 - intermittent",""
"H409","","glaucome :
 - absolu [H44.5] 
 - congénital [Q15.0] 
 - traumatique dû à un traumatisme obstétrical [P15.3]"
"H420","Glaucome au cours de :
 - amylose [E85.-] 
 - syndrome de Lowe [E72.0]",""
"H428","Glaucome au cours d'onchocercose [B73]",""
"H430","","syndrome du corps vitré après intervention pour cataracte [H59.0]"
"H433","Membranes et fibres hyaloïdes",""
"H438","Décollement  du corps vitré
Dégénérescence  du corps vitré","vitréorétinopathie proliférante avec décollement de la rétine [H33.4]"
"H44","les affections de plusieurs structures de l'œil",""
"H440","Abcès du corps vitré
Panophtalmie",""
"H441","Endophtalmie parasitaire SAI
Uvéite sympathique",""
"H443","Chalcose
Sidérose de l'œil",""
"H445","Atrophie du globe oculaire
Glaucome absolu
Phtisie du globe oculaire",""
"H446","Rétention (ancienne) de corps étranger magnétique dans :
 - chambre antérieure de l'œil
 - corps :
  - ciliaire
  - vitré
 - cristallin
 - iris
 - paroi postérieure du globe oculaire",""
"H447","Rétention (ancienne) de corps étranger non magnétique dans :
 - chambre antérieure de l'œil
 - corps :
  - ciliaire
  - vitré
 - cristallin
 - iris
 - paroi postérieure du globe oculaire",""
"H448","Hémophtalmie
Luxation du globe oculaire",""
"H451","Endophtalmie au cours de :
 - cysticercose [B69.1] 
 - onchocercose [B73] 
 - toxocarose [B83.0]",""
"H46","Neuropathie optique, non ischémique
Névrite rétrobulbaire SAI
Papillite optique","neuromyélite optique [Devic] [G36.0]
neuropathie optique ischémique [H47.0]"
"H470","Compression du nerf optique
Hémorragie de la gaine du nerf optique
Neuropathie optique ischémique
Syndrome de (Foster-)Kennedy",""
"H472","Pâleur temporale de la papille optique",""
"H473","Druses de la papille optique
Pseudoœdème papillaire",""
"H475","Affections des voies optiques, des corps genouillés et des radiations optiques de Gratiolet",""
"H480","Atrophie optique au cours de syphilis tardive [A52.1]",""
"H481","Névrite rétrobulbaire au cours de :
 - infection à méningocoques [A39.8] 
 - sclérose en plaques [G35] 
 - syphilis tardive [A52.1]",""
"H49","","ophtalmoplégie :
 - interne [H52.5] 
 - internucléaire [H51.2] 
 - supranucléaire progressive [G23.1]"
"H49-H52","","nystagmus et autres anomalies des mouvements oculaires [H55]"
"H498","Ophtalmoplégie externe SAI
Syndrome de Kearns et Sayre",""
"H499","","ophtalmoplégie :
 - interne [H52.5] 
 - internucléaire [H51.2] 
 - supranucléaire progressive [G23.1]"
"H500","Ésotropie (alternante) (monoculaire) non intermittente",""
"H501","Exotropie (alternante) (monoculaire) non intermittente",""
"H502","Hypertropie
Hypotropie",""
"H503","Ésotropie  intermittente (alternante) (monoculaire)
Exotropie  intermittente (alternante) (monoculaire)",""
"H504","Cyclotropie
Microtropie
Strabisme concomitant SAI
Syndrome de monofixation",""
"H505","Ésophorie
Exophorie
Hyperphorie alternante",""
"H506","Limitation traumatique des mouvements des muscles oculaires
Strabisme dû à des adhérences
Syndrome de Brown",""
"H508","Syndrome de Stilling–Türk–Duane",""
"H521","","myopie dégénérative [H44.2]"
"H525","Ophtalmoplégie interne (complète) (totale)
Parésie  de l'accommodation
Spasme  de l'accommodation",""
"H530","Amblyopie :
 - anisométrique
 - avec strabisme
 - par défaut d'usage",""
"H531","Asthénopie
Cécité diurne
Halos visuels
Métamorphopsie
Nyctalopie
Perte subite de la vision
Photophobie
Scotome scintillant","hallucinations visuelles [R44.1]"
"H532","Vision double",""
"H533","Anomalies de la correspondance rétinienne
Disparition de la vision binoculaire
Fusion avec anomalie de la vision stéréoscopique
Perception simultanée sans fusion",""
"H534","Anopsie d'un quadrant
Élargissement de la tache aveugle
Hémianopsie (hétéronyme) (homonyme)
Rétrécissement généralisé du champ visuel
Scotome (de) :
 - annulaire
 - arciforme
 - Bjerrum
 - central",""
"H535","Achromatopsie
Daltonisme
Deutéranomalie
Deutéranopie
Incapacité acquise de la vision des couleurs
Protanomalie
Protanopie
Tritanomalie
Tritanopie","cécité diurne [H53.1]"
"H536","","due à une avitaminose A [E50.5]"
"H54","","amaurose fugace [G45.3]"
"H540","Déficience visuelle des deux yeux de catégorie 3, 4, 5",""
"H541","Déficience visuelle de catégorie 2",""
"H542","Déficience visuelle de catégorie 1",""
"H543","Déficience visuelle de catégorie 0",""
"H544","Déficience visuelle de catégorie 3, 4, 5 pour un œil et de catégorie 0, 1, 2 ou 9 pour l'autre œil",""
"H545","Déficience visuelle de catégorie 2  pour un œil et de catégorie 0, 1 ou 9 pour l'autre œil",""
"H546","Déficience visuelle de catégorie 1 pour un œil et de catégorie 0 ou 9 pour l'autre œil",""
"H549","","amaurose fugace [G45.3]"
"H55","Nystagmus (de) :
 - SAI
 - congénital
 - défaut d'usage
 - dissocié
 - latent",""
"H580","Signe d'Argyll Robertson (syphilitique) [A52.1]",""
"H588","Affection de l'oeil d'origine thyroïdienne (thyréotoxique) [E05.-]
Oculopathie syphilitique NCA :
 - congénitale :
  - précoce [A50.0] 
  - tardive [A50.3] 
 - précoce (secondaire) [A51.4] 
 - tardive [A52.7]",""
"H59","","complication mécanique de :
 - lentille intraoculaire [T85.2] 
 - autres prothèses, implants et greffes oculaires [T85.3] 
pseudophakie [Z96.1] -"
"H590","Syndrome du corps vitré
Syndrome kératovitréen",""
"H598","Cicatrices choriorétiniennes après traitement chirurgical du décollement
Endophtalmie associée à une bulle de filtration
Infection postopératoire de bulle de filtration",""
"H599","","complication mécanique de :
 - lentille intraoculaire [T85.2] 
 - autres prothèses, implants et greffes oculaires [T85.3] 
pseudophakie [Z96.1] -"
"H600","Anthrax  de l'oreille ou du conduit auditif externe
Furoncle  de l'oreille ou du conduit auditif externe",""
"H601","Cellulite du :
 - conduit auditif externe
 - pavillon de l'oreille",""
"H603","Oreille du nageur
Otite externe :
 - diffuse
 - hémorragique",""
"H604","Kératose obturante de l'oreille externe (conduit)",""
"H605","Otite aigüe externe :
 - SAI
 - actinique
 - chimique
 - de contact
 - exématoïde [eczématoïde]
 - réactionnelle",""
"H608","Otite chronique externe SAI",""
"H610","Chondrodermite nodulaire chronique de l'hélix
Périchondrite du pavillon",""
"H611","Déformation acquise du pavillon","oreilles « en chou-fleur » [M95.1]"
"H613","Rétrécissement du conduit auditif externe",""
"H618","Exostose du conduit auditif externe",""
"H620","Otite externe au cours d'érysipèle [A46]",""
"H621","Otite externe au cours de :
 - infection due au virus de l'herpès [Herpes simplex] [B00.1] 
 - zona [B02.8]",""
"H622","Otite externe au cours de :
 - aspergillose [B44.8] 
 - candidose [B37.2] 
Otomycose SAI [B36.9]",""
"H624","Otite externe au cours d'impétigo [L01.-]",""
"H65","avec myringite",""
"H650","Écoulement aigu et subaigu de l'oreille moyenne",""
"H651","Otite moyenne, aigüe et subaigüe :
 - allergique (muqueuse) (sanglante) (séreuse)
 - muqueuse
 - non suppurée SAI
 - sanglante
 - séromuqueuse","otite :
 - barotraumatique [T70.0] 
 - moyenne (aigüe) SAI [H66.9]"
"H652","Catarrhe tubotympanique chronique",""
"H653","Otite moyenne chronique :
 - muqueuse
 - sécrétoire
 - transsudative
Otite mucoïde","maladie adhésive de l'oreille moyenne [H74.1]"
"H654","Otite moyenne chronique :
 - allergique
 - avec épanchement (non purulent)
 - exsudative
 - non suppurée SAI
 - séromuqueuse",""
"H659","Otite moyenne :
 - allergique
 - avec épanchement (non purulent)
 - catarrhale
 - exsudative
 - muqueuse
 - sécrétoire
 - séreuse
 - séromuqueuse
 - transsudative",""
"H66","avec myringite",""
"H661","Maladie chronique tubotympanique
Otite moyenne suppurée chronique bénigne",""
"H662","Maladie atticoantrale chronique",""
"H663","Otite moyenne suppurée chronique SAI",""
"H664","Otite moyenne purulente SAI",""
"H669","Otite moyenne :
 - SAI
 - aigüe SAI
 - chronique SAI",""
"H670","Otite moyenne au cours de :
 - scarlatine [A38] 
 - tuberculose [A18.6]",""
"H671","Otite moyenne au cours de la :
 - grippe à :
  - virus grippal saisonnier identifié  [J10.8] 
  - virus grippal zoonotique ou pandémique identifié  [J09] 
  - virus non identifié  [J11.8] 
 - rougeole [B05.3]",""
"H681","Compression  de la trompe d'Eustache
Rétrécissement  de la trompe d'Eustache
Sténose  de la trompe d'Eustache",""
"H700","Abcès  de la mastoïde
Empyème  de la mastoïde",""
"H701","Fistule  de la mastoïde
Nécrose  de la mastoïde",""
"H702","Inflammation du rocher (aigüe) (chronique)",""
"H71","Cholestéatome du tympan","cholestéatome (de) :
 - oreille externe [H60.4] 
 - récidivant après mastoïdectomie [H95.0]"
"H72","perforation du tympan :
 - postinflammatoire
 - posttraumatique persistante","rupture traumatique du tympan [S09.2]"
"H721","Perforation de la pars flaccida",""
"H728","Perforation(s) :
• multiples du tympan 
• totale du tympan",""
"H729","","rupture traumatique du tympan [S09.2]"
"H730","Myringite bulleuse
Tympanite aigüe","avec otite moyenne [H65-H66]"
"H731","Tympanite chronique","avec otite moyenne [H65-H66]"
"H741","Otite adhésive","otite mucoïde [H65.3]"
"H743","Ankylose  des osselets
Perte partielle  des osselets",""
"H750","Tuberculose mastoïdienne [A18.0]",""
"H80","otospongiose",""
"H802","Otosclérose intéressant la :
 - capsule labyrinthique (otique)
 - fenêtre ronde",""
"H81","","vertige :
 - SAI [R42] 
 - épidémique [A88.1]"
"H810","Hydrops endolabyrinthique
Syndrome ou vertige de Ménière",""
"H813","Syndrome de Lermoyez
Vertige :
 - auriculaire
 - otogène
 - périphérique SAI",""
"H814","Nystagmus central",""
"H819","Syndrome vertigineux SAI","vertige :
 - SAI [R42] 
 - épidémique [A88.1]"
"H832","Hypersensibilité  du labyrinthe
Hypofonction  du labyrinthe
Perte de la fonction  du labyrinthe",""
"H833","Perte auditive due au bruit
Traumatisme acoustique",""
"H90","surdité congénitale","perte de l'audition :
 - SAI [H91.9] 
 - due au bruit [H83.3] 
 - par ototoxicité [H91.0] 
 - soudaine (idiopathique) [H91.2] 
surdimutité NCA [H91.3] 
surdité SAI [H91.9]"
"H902","Perte de l'audition par conduction SAI",""
"H905","Perte de l'audition neurosensorielle SAI
Surdité (de) :
 - centrale SAI 
 - congénitale SAI 
 - nerveuse SAI 
 - perception SAI 
 - sensorielle SAI",""
"H91","","bouchon de cérumen [H61.2]
perception auditive anormale [H93.2]
perte auditive due au bruit [H83.3]
surdité :
 - classée en H90.-
 - ischémique transitoire [H93.0] 
 - psychogène [F44.6]"
"H912","Perte auditive brutale SAI",""
"H919","Surdité (pour) :
 - SAI
 - fréquences basses
 - fréquences hautes","bouchon de cérumen [H61.2]
perception auditive anormale [H93.2]
perte auditive due au bruit [H83.3]
surdité :
 - classée en H90.-
 - ischémique transitoire [H93.0] 
 - psychogène [F44.6]"
"H921","","écoulement de liquide céphalorachidien [G96.0]"
"H922","","otorragie traumatique – coder selon le type du traumatisme –"
"H930","Surdité ischémique transitoire","presbyacousie [H91.1]"
"H932","Diplacousie
Hyperacousie
Modification temporaire du seuil auditif
Recrutement auditif","hallucinations auditives [R44.0]"
"H933","Affection du nerf crânien VIII",""
"H940","Névrite acoustique au cours de la syphilis [A52.1]",""
"H951","Granulome  après mastoïdectomie
Inflammation chronique  après mastoïdectomie
Kyste muqueux  après mastoïdectomie",""
"I","les maladies considérées habituellement comme contagieuses ou transmissibles","certaines infections localisées – voir les chapitres relatifs aux divers systèmes, appareils et organes
grippe et autres affections aigües des voies respiratoires [J00-J22]
infections spécifiques de la période périnatale [à l'exception du tétanos du nouveau-né, de la coqueluche, de la syphilis congénitale, des infections périnatales à gonocoques et des maladies périnatales dues au virus de l'immunodéficience humaine [VIH]] [P35-P39]
maladies infectieuses et parasitaires de la mère compliquant la grossesse, l'accouchement et la puerpéralité [à l'exception du tétanos obstétrical] [O98.-]
sujet porteur ou suspecté porteur d'une maladie infectieuse [Z22.-]"
"I00","Arthrite rhumatismale aigüe ou subaigüe",""
"I01","","maladies chroniques dues au rhumatisme articulaire [I05-I09] à moins qu’un processus rhumatismal ne soit aussi présent ou d'une recrudescence de l'activité de ce processus. Si, au moment du décès, il existe un doute quant à l'activité rhumatismale, se référer aux règles et instructions du volume 2 concernant la mortalité."
"I010","Péricardite rhumatismale (aigüe)
Tout état classé en I00, avec péricardite","non précisée d'origine rhumatismale [I30.-]"
"I011","Valvulite rhumatismale aigüe
Tout état classé en I00, avec endocardite ou valvulite",""
"I012","Tout état classé en I00, avec myocardite",""
"I018","Pancardite rhumatismale aigüe
Tout état classé en I00, avec atteintes cardiaques, autres ou multiples",""
"I019","Cardiopathie aigüe ou évolutive
Cardite aigüe rhumatismale
Tout état classé en I00, avec atteinte cardiaque, sans précision","maladies chroniques dues au rhumatisme articulaire [I05-I09] à moins qu’un processus rhumatismal ne soit aussi présent ou d'une recrudescence de l'activité de ce processus. Si, au moment du décès, il existe un doute quant à l'activité rhumatismale, se référer aux règles et instructions du volume 2 concernant la mortalité."
"I02","chorée de Sydenham","chorée (de) :
 - SAI [G25.5] 
 - Huntington [G10]"
"I020","Chorée :
 - SAI, avec atteinte cardiaque
 - rhumatismale, avec atteinte cardiaque de tout type classée en I01.–",""
"I029","Chorée rhumatismale SAI","chorée (de) :
 - SAI [G25.5] 
 - Huntington [G10]"
"I05","affections classées en I05.0 et I05.2-I05.9 précisées ou non d'origine rhumatismale","précisées d'origine non rhumatismale [I34.-]"
"I050","Rétrécissement (rhumatismal) de la valvule mitrale",""
"I051","Reflux  mitral(e) rhumatismal(e)
Régurgitation  mitral(e) rhumatismal(e)",""
"I052","Sténose mitrale avec insuffisance ou régurgitation",""
"I058","Affection (de la valve) mitrale",""
"I059","Atteinte (valvulaire) mitrale (chronique) SAI","précisées d'origine non rhumatismale [I34.-]"
"I06","","non précisées d'origine rhumatismale [I35.-]"
"I060","Rétrécissement rhumatismal (de la valvule) aortique",""
"I061","Reflux  aortique rhumatismal(e)
Régurgitation  aortique rhumatismal(e)",""
"I062","Sténose aortique rhumatismale avec insuffisance ou reflux",""
"I069","Maladie aortique (valvulaire) rhumatismale SAI","non précisées d'origine rhumatismale [I35.-]"
"I07","précisées d'origine rhumatismale ou d’origine non précisée","précisées d'origine non rhumatismale [I36.-]"
"I070","Sténose (de la valvule) tricuspide (rhumatismale)",""
"I071","Insuffisance (de la valvule) tricuspide (rhumatismale)",""
"I079","Atteinte de la valvule tricuspide SAI","précisées d'origine non rhumatismale [I36.-]"
"I08","précisées d'origine rhumatismale ou d’origine non précisée","endocardite :
 - rhumatismale, valvule non précisée [I09.1] 
 - valvule non précisée [I38] 
maladies de plusieurs valvules d’origine précisée autre que rhumatismale [I34–I38]  [Q22–Q23]  [Q24.8]"
"I080","Lésions des valvules mitrale et aortique, précisées d'origine rhumatismale ou d’origine non précisée",""
"I089","","endocardite :
 - rhumatismale, valvule non précisée [I09.1] 
 - valvule non précisée [I38] 
maladies de plusieurs valvules d’origine précisée autre que rhumatismale [I34–I38]  [Q22–Q23]  [Q24.8]"
"I090","","myocardite non précisée d'origine rhumatismale [I51.4]"
"I091","Endocardite (chronique)  rhumatismale
Valvulite (chronique)  rhumatismale","endocardite, valvule non précisée [I38]"
"I092","Adhérence du péricarde, rhumatismale
Médiastinopéricardite rhumatismale chronique
Myopéricardite rhumatismale chronique","non précisée d'origine rhumatismale [I31.-]"
"I098","Maladie rhumatismale de la valvule pulmonaire",""
"I099","Cardite  rhumatismale
Insuffisance cardiaque  rhumatismale","cardite rhumatoïde [M05.3]"
"I10","Hypertension (artérielle) (bénigne) (essentielle) (maligne) (primitive) (systémique)
Tension artérielle élevée","avec :
 - maladies cérébrovasculaires [I60-I69] 
 - rétinopathies vasculaires [H35.0]"
"I10-I15","","cardiopathies ischémiques [I20-I25]
compliquant la grossesse, l'accouchement et la puerpéralité [O10-O11]  [O13-O16]
hypertension :
 - du nouveau-né [P29.2] 
 - pulmonaire :
  - primaire [I27.0] 
  - secondaire [I27.2]"
"I11","tout état classé en I50.-, I51.4-I51.9 dû à l'hypertension",""
"I110","Insuffisance cardiaque hypertensive",""
"I119","Cardiopathie hypertensive SAI",""
"I12","artériosclérose du rein
néphrite artérioscléreuse (chronique) (interstitielle)
néphropathie hypertensive
néphrosclérose
tout état classé en N00–N07, N18.-, N19.- ou N26.- dû à l’hypertension","hypertension secondaire [I15.-]"
"I120","Insuffisance rénale hypertensive",""
"I129","Néphropathie hypertensive SAI","hypertension secondaire [I15.-]"
"I13","maladie :
 - cardiorénale
 - cardio-vasculo-rénale
tout état classé en I11.- associé à tout état classé en I12.-",""
"I15","","avec :
 - maladies cérébrovasculaires [I60-I69] 
 - rétinopathies vasculaires [H35.0]"
"I159","","avec :
 - maladies cérébrovasculaires [I60-I69] 
 - rétinopathies vasculaires [H35.0]"
"I20-I25","avec mention d'hypertension [I10-I15]",""
"I200","Angine :
 - accélérée
 - aggravée à l'effort
 - de novo à l'effort
- Syndrome (de) :
 - coronaire intermédiaire
 - préinfarctus",""
"I201","Angine de poitrine (de) :
 - angiospastique
 - due à un spasme
 - Prinzmetal
 - variable",""
"I208","Angine d'effort
Angine stable
Coronary slow flow syndrome
Sténocardie",""
"I209","Angine de poitrine :
 - SAI
 - cardiaque
Douleur thoracique ischémique
Syndrome angineux",""
"I21","infarctus du myocarde précisé comme aigu ou d'une durée de 4 semaines (28 jours) ou moins depuis le début","certaines complications récentes d'un infarctus aigu du myocarde [I23.-]
infarctus du myocarde :
 - ancien [I25.2] 
 - à répétition [I22.-] 
 - précisé comme chronique ou d'une durée de 4 semaines au moins (plus de 28 jours) depuis le début [I25.8] 
syndrome postinfarctus du myocarde [I24.1]"
"I210","Infarctus transmural (aigu) :
 - antérieur (paroi) SAI
 - antéroapical
 - antérolatéral
 - antéroseptal",""
"I211","Infarctus transmural (aigu) (de) :
 - inférieur (paroi) SAI
 - inférolatéral
 - paroi diaphragmatique
 - postéro-inférieur",""
"I212","Infarctus transmural (aigu) :
 - latéral haut
 - latéral (paroi) SAI
 - latéroapical
 - latérobasal
 - postérieur (vrai)
 - postérobasal
 - postérolatéral
 - postéroseptal
 - septal SAI",""
"I213","Infarctus transmural du myocarde SAI",""
"I214","Infarctus du myocarde sans susdécalage de ST [NSTEMI]
Infarctus non transmural du myocarde SAI",""
"I219","Infarctus du myocarde (aigu) SAI","certaines complications récentes d'un infarctus aigu du myocarde [I23.-]
infarctus du myocarde :
 - ancien [I25.2] 
 - à répétition [I22.-] 
 - précisé comme chronique ou d'une durée de 4 semaines au moins (plus de 28 jours) depuis le début [I25.8] 
syndrome postinfarctus du myocarde [I24.1]"
"I22","infarctus du myocarde :
 - extensif
 - récidivant
réinfarctus","précisé comme chronique ou d'une durée de 4 semaines au moins (plus de 28 jours) depuis le début [I25.8]"
"I220","Infarctus répété (aigu) :
 - antérieur (paroi) SAI
 - antéroapical
 - antérolatéral
 - antéroseptal",""
"I221","Infarctus répété (aigu) (de) :
 - inférieur (paroi) SAI
 - inférolatéral
 - paroi diaphragmatique
 - postéro-inférieur",""
"I228","Infarctus du myocarde, à répétition (aigu) :
 - latéral haut
 - latéral (paroi) SAI
 - latéroapical
 - latérobasal
 - postérieur (vrai)
 - postérobasal
 - postérolatéral
 - postéroseptal
 - septal SAI",""
"I229","","précisé comme chronique ou d'une durée de 4 semaines au moins (plus de 28 jours) depuis le début [I25.8]"
"I23","","états suivants :
 - coexistant avec un infarctus aigu du myocarde [I21-I22] 
 - non précisés comme complication récente d'un infarctus aigu du myocarde [I31.-]  [I51.-]"
"I233","","avec hémopéricarde [I23.0]"
"I24","","angine de poitrine [I20.-]
ischémie transitoire du myocarde du nouveau-né [P29.4]"
"I240","Embolie  coronaire (artère) (veine) n'entraînant pas un infarctus du myocarde
Occlusion  coronaire (artère) (veine) n'entraînant pas un infarctus du myocarde
Thromboembolie  coronaire (artère) (veine) n'entraînant pas un infarctus du myocarde","précisée comme chronique ou d'une durée de plus de 4 semaines (plus de 28 jours) depuis le début [I25.8]"
"I241","Syndrome postinfarctus du myocarde",""
"I248","Insuffisance coronaire",""
"I249","","angine de poitrine [I20.-]
ischémie transitoire du myocarde du nouveau-né [P29.4]|cardiopathie ischémique (chronique) SAI [I25.9]"
"I25","","maladie cardiovasculaire SAI [I51.6]"
"I251","Athérome  des (artères) coronaires
Athérosclérose  des (artères) coronaires
Maladie  des (artères) coronaires
Sclérose  des (artères) coronaires",""
"I252","Infarctus du myocarde :
 - ancien découvert par ECG ou autre moyen d'investigation, mais asymptomatique au moment de l'examen
 - guéri",""
"I253","Anévrisme :
 - pariétal
 - ventriculaire",""
"I254","Fistule artérioveineuse coronaire, acquise","anévrisme congénital (de l'artère) coronaire [Q24.5]"
"I258","Tout état classé en I21-I22 et I24.- précisé comme chronique ou d'une durée de 4 semaines au moins (plus de 28 jours) depuis le début",""
"I259","Maladie ischémique du cœur (chronique) SAI","maladie cardiovasculaire SAI [I51.6]"
"I26","infarctus  (d'une artère) (d'une veine) pulmonaire
thromboembolie  (d'une artère) (d'une veine) pulmonaire
thrombose  (d'une artère) (d'une veine) pulmonaire","compliquant :
 - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.2] 
 - grossesse, accouchement et puerpéralité [O88.-]"
"I260","Cœur pulmonaire aigu SAI",""
"I269","Embolie pulmonaire SAI","compliquant :
 - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.2] 
 - grossesse, accouchement et puerpéralité [O88.-]"
"I278","","cardiopathie congénitale d’Eisenmenger [Q21.8]"
"I279","Cœur pulmonaire (chronique) SAI
Maladie cardiopulmonaire chronique",""
"I288","Rétrécissement  des vaisseaux pulmonaires
Rupture  des vaisseaux pulmonaires
Sténose  des vaisseaux pulmonaires",""
"I30","épanchement péricardique aigu","péricardite rhumatismale (aigüe) [I01.0]"
"I301","Péricardite :
 - pneumococcique
 - purulente
 - staphylococcique
 - streptococcique
 - virale
Pyopéricardite",""
"I309","","péricardite rhumatismale (aigüe) [I01.0]"
"I31","","complications récentes d'un infarctus aigu du myocarde [I23.-]
précisées comme rhumatismales [I09.2]
syndrome postcardiotomie [I97.0]
traumatiques [S26.-]"
"I310","Accretio cordis
Adhérence du péricarde
Médiastinopéricardite adhésive",""
"I311","Calcification du péricarde
Concretio cordis",""
"I313","Chylopéricarde",""
"I318","Adhérences localisées du péricarde
Plaques épicardiques",""
"I319","Péricardite (chronique) SAI
Tamponnade cardiaque","complications récentes d'un infarctus aigu du myocarde [I23.-]
précisées comme rhumatismales [I09.2]
syndrome postcardiotomie [I97.0]
traumatiques [S26.-]"
"I320","Péricardite :
 - gonococcique [A54.8] 
 - méningococcique [A39.5] 
 - syphilitique [A52.0] 
 - tuberculeuse [A18.8]",""
"I328","Péricardite (au cours de) :
 - lupus érythémateux disséminé [M32.1] 
 - polyarthrite rhumatoïde [M05.3] 
 - urémique [N18.5]",""
"I33","","endocardite :
 - SAI [I38] 
 - aigüe rhumatismale [I01.1]"
"I330","Endocardite (aigüe) (subaigüe) :
 - bactérienne
 - infectieuse SAI
 - lente
 - maligne
 - septique
 - ulcéreuse",""
"I339","Endocardite  aigüe ou subaigüe
Myoendocardite  aigüe ou subaigüe
Périendocardite  aigüe ou subaigüe","endocardite :
 - SAI [I38] 
 - aigüe rhumatismale [I01.1]"
"I34","","affection [I05.8]  (de la valvule) mitrale
maladie [I05.9]  (de la valvule) mitrale
sténose [I05.0]  (de la valvule) mitrale
précisées comme congénitales [Q23.2–Q23.9]
précisées comme rhumatismales [I05.–]
sans cause précisée mais avec mention de :
 - maladie de la valvule aortique [I08.0] 
 - sténose ou rétrécissement mitral(e) [I05.0]"
"I340","Reflux  (de la valvule) mitral(e) SAI ou de cause précisée, sauf rhumatismale
Régurgitation  (de la valvule) mitral(e) SAI ou de cause précisée, sauf rhumatismale",""
"I341","Syndrome de Barlow","syndrome de Marfan [Q87.4]"
"I349","","affection [I05.8]  (de la valvule) mitrale
maladie [I05.9]  (de la valvule) mitrale
sténose [I05.0]  (de la valvule) mitrale
précisées comme congénitales [Q23.2–Q23.9]
précisées comme rhumatismales [I05.–]
sans cause précisée mais avec mention de :
 - maladie de la valvule aortique [I08.0] 
 - sténose ou rétrécissement mitral(e) [I05.0]"
"I35","","cause non précisée mais avec mention de lésions de la valvule mitrale [I08.0]
précisées comme congénitales [Q23.0, Q23.1, Q23.4–Q23.9]
précisées comme rhumatismales [I06.–]
sténose subaortique hypertrophique [I42.1]"
"I351","Reflux  (de la valvule) aortique SAI ou de cause précisée, sauf rhumatismale
Régurgitation  (de la valvule) aortique SAI ou de cause précisée, sauf rhumatismale",""
"I359","","cause non précisée mais avec mention de lésions de la valvule mitrale [I08.0]
précisées comme congénitales [Q23.0, Q23.1, Q23.4–Q23.9]
précisées comme rhumatismales [I06.–]
sténose subaortique hypertrophique [I42.1]"
"I36","","cause non précisée [I07.-]
précisées comme congénitales [Q22.4]  [Q22.8–Q22.9]
précisées comme rhumatismales [I07.-]"
"I361","Reflux  (de la valvule) tricuspide, de cause précisée, sauf rhumatismale
Régurgitation  (de la valvule) tricuspide, de cause précisée, sauf rhumatismale",""
"I369","","cause non précisée [I07.-]
précisées comme congénitales [Q22.4]  [Q22.8–Q22.9]
précisées comme rhumatismales [I07.-]"
"I37","","précisées comme congénitales [Q22.1, Q22.2, Q22.3]
précisées comme rhumatismales [I09.8]"
"I371","Reflux  de la valvule pulmonaire SAI ou de cause précisée, sauf rhumatismale
Régurgitation  de la valvule pulmonaire SAI ou de cause précisée, sauf rhumatismale",""
"I379","","précisées comme congénitales [Q22.1, Q22.2, Q22.3]
précisées comme rhumatismales [I09.8]"
